id,unique_information
0,nan
1,nan
2,nan
3,nan
4,nan
5,nan
6,nan
7,nan
8,1.87278
10,nan
12,0.160329
14,nan
15,nan
16,nan
17,nan
18,0.129621
19,nan
20,nan
21,5.22688
22,nan
23,nan
24,nan
25,nan
26,nan
28,nan
29,nan
31,nan
32,nan
33,0.287178
34,nan
35,nan
36,nan
38,nan
39,nan
41,nan
42,nan
43,0.223425
44,nan
45,nan
46,nan
47,nan
48,nan
49,nan
50,1.46632
52,0.230259
53,nan
54,nan
56,1.09712
58,0.226501
59,nan
60,nan
61,nan
63,nan
64,nan
65,nan
66,0.237243
67,0.159992
68,nan
71,nan
73,0.373991
74,nan
75,nan
76,nan
77,nan
79,nan
81,nan
84,0.409157
85,0.241326
86,0.36035
88,nan
89,0.342809
91,0.351556
92,0.144999
93,0.206696
94,0.144321
96,nan
97,nan
98,nan
100,0.530593
102,nan
103,nan
104,0.432052
105,nan
106,50.2611
107,nan
108,1.04676
109,0.140599
110,nan
111,nan
112,0.186797
113,nan
114,nan
115,nan
117,nan
118,1.64984
119,0.84672
120,0.177601
121,nan
122,0.531481
124,nan
125,0.20506
126,0.459501
127,0.14577
128,0.273314
129,nan
130,nan
131,nan
132,nan
133,nan
134,nan
136,nan
137,nan
138,0.165479
139,0.153864
140,9.02942
141,nan
142,nan
143,nan
144,nan
145,nan
146,nan
147,nan
148,1.76515
149,0.372505
150,0.209216
151,nan
152,nan
153,nan
154,nan
155,nan
156,0.586056
157,nan
158,nan
159,0.422259
160,0.186045
161,5.13541
162,nan
163,0.189223
164,0.1601
165,0.187671
166,nan
167,0.171968
168,0.243494
169,nan
170,nan
171,nan
172,nan
173,nan
174,nan
175,nan
176,nan
177,nan
178,nan
179,nan
181,0.131286
182,nan
183,nan
184,nan
185,nan
188,0.530157
189,nan
190,nan
191,nan
192,nan
193,nan
194,nan
195,0.132493
196,nan
197,0.20636
198,nan
199,nan
200,nan
203,nan
204,nan
205,nan
206,nan
208,nan
210,nan
211,nan
212,nan
213,nan
215,0.229798
216,nan
217,nan
218,nan
219,nan
220,nan
221,nan
222,nan
223,nan
224,nan
225,nan
226,nan
227,nan
228,nan
230,nan
232,nan
233,nan
235,0.483968
236,nan
237,nan
239,0.401814
240,nan
241,nan
244,nan
246,nan
248,nan
250,nan
251,nan
252,nan
253,0.517573
254,nan
255,nan
256,0.215804
257,0.161088
258,nan
259,0.154121
260,0.342809
261,0.186965
262,nan
263,nan
264,nan
265,nan
266,nan
269,0.454887
271,nan
273,nan
274,0.172547
275,1.09278
276,nan
277,nan
278,0.136735
279,nan
280,0.151853
281,nan
282,nan
284,nan
286,2.67473
287,nan
288,0.34216
290,0.26407
292,nan
293,nan
295,0.264544
296,nan
297,0.255462
298,0.127467
299,nan
300,0.316285
301,0.174969
302,0.362112
303,0.454668
304,nan
305,0.144361
306,0.552224
307,0.546571
308,nan
309,nan
312,0.224649
313,nan
314,nan
316,nan
318,0.530034
320,nan
322,0.284199
323,nan
324,0.130472
325,nan
326,nan
327,nan
328,nan
329,0.145504
330,0.385404
331,28.8631
332,nan
333,0.382524
334,nan
335,nan
336,nan
337,0.298216
338,nan
340,0.120962
341,nan
343,0.115991
344,nan
345,0.122706
347,nan
348,0.590705
350,nan
351,0.289946
352,0.204904
353,0.153889
354,nan
355,0.181333
357,nan
358,0.257411
359,0.18907
360,0.125764
361,nan
362,0.190966
364,0.437731
365,nan
366,nan
367,nan
368,nan
369,nan
370,nan
371,0.292196
372,0.225929
373,0.818586
374,nan
375,nan
376,nan
377,nan
379,nan
